"layer_id","layer","feature_id","bioshift_long_cent","bioshift_lat_cent","area_m2","area_km2","calculation_status"
"81","A140_P1",1,-99.2867374124089,31.4268075506465,696242898379.535,696242.898379535,"success"
"82","A141_P1",1,-2.52673541935828,53.9574327888739,226481690036.778,226481.690036778,"success"
"83","A142_P1",1,15.6833527533981,50.739071616261,4259546857.20952,4259.54685720952,"success"
"84","A143_P1",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"85","A144_P1",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"86","A145_P1",1,103.46821359185,36.6932051827419,9334495283389.34,9334495.28338934,"success"
"87","A146_P1",1,156.859804161838,-20.9903698,NA,NA,"area_failed"
"88","A147_P1",1,-119.464195010662,37.1881048753926,407691236447.512,407691.236447512,"success"
"89","A148_P1",1,5.2783090298932,54.046695151172,105518581824.354,105518.581824354,"success"
"90","A149_P1",1,2.19384428876889,41.2999335427775,10009983709.2547,10009.9837092547,"success"
"91","A15_P1",1,-1.91619343503823,54.3089653,NA,NA,"area_failed"
"91","A15_P1",2,-4.54817833062864,54.2234599297386,586336038.757315,586.336038757315,"success"
"91","A15_P1",3,-5.2402952646554,55.5750849098496,421787234.110378,421.787234110378,"success"
"91","A15_P1",4,-5.09616922778356,55.8302498555992,121243246.733096,121.243246733096,"success"
"91","A15_P1",5,-5.91130590928973,55.9652810689564,370343718.614818,370.343718614817,"success"
"91","A15_P1",6,-6.2497812452269,55.766537577258,623851080.828302,623.851080828302,"success"
"91","A15_P1",7,-1.25031182301294,60.3957217054297,1611532001.88129,1611.53200188129,"success"
"91","A15_P1",8,-7.92569325329116,53.4089143468173,83873718158.432,83873.718158432,"success"
"91","A15_P1",9,-6.02872235482594,56.4489479856068,925019964.723472,925.019964723472,"success"
"91","A15_P1",10,-6.87994038981514,57.9044754486622,3230444481.29034,3230.44448129034,"success"
"91","A15_P1",11,-6.23771309074596,57.3641413186138,1789315480.80864,1789.31548080864,"success"
"91","A15_P1",12,-2.99822452548069,59.0485173299616,1602307194.92075,1602.30719492075,"success"
"91","A15_P1",13,17.9233642090195,63.5752900281398,1129341998504.95,1129341.99850495,"success"
"91","A15_P1",14,10.3906339000281,47.8567678,NA,NA,"area_failed"
"91","A15_P1",15,9.10134893872128,42.1450314434004,8734465449.13862,8734.46544913862,"success"
"91","A15_P1",16,9.0263336360728,40.085330450591,23884521553.701,23884.521553701,"success"
"91","A15_P1",17,14.1552061685783,37.5828027003058,25642191431.2112,25642.1914312112,"success"
"91","A15_P1",18,-6.86034618225515,62.0701491910249,2012683663.64854,2012.68366364854,"success"
"91","A15_P1",19,20.0613564823735,60.189736293423,1780363004.63209,1780.36300463209,"success"
"91","A15_P1",20,22.6362727793919,58.890687056628,1044774843.19739,1044.77484319739,"success"
"91","A15_P1",21,22.4913119327029,58.3783229605318,2738053168.09863,2738.05316809863,"success"
