"species_harmonized","usageKey"
"Falco tinnunculus","GBIF:9616058"
"Alca torda","GBIF:8277073"
"Cepphus grylle","GBIF:2481312"
"Somateria mollissima","GBIF:2498352"
"Scoliopteryx libatrix","GBIF:1798449"
"Limnodromus scolopaceus","GBIF:2481670"
"Hydrolagus colliei","GBIF:5215461"
"Bucephala islandica","GBIF:2498325"
"Urothoe poseidonis","GBIF:2216086"
"Anarta trifolii","GBIF:4534166"
"Larentia clavaria","GBIF:1957266"
"Gadus chalcogrammus","GBIF:2415769"
"Pyrgus malvae","GBIF:8109173"
"Coccothraustes coccothraustes","GBIF:2494329"
"Myiarchus cinerascens","GBIF:2483600"
"Lanius collurio","GBIF:7745240"
"Squalus acanthias","GBIF:5216368"
"Sicyonia dorsalis","GBIF:2223222"
"Menticirrhus saxatilis","GBIF:2400079"
"Potamogeton pusillus","GBIF:8351789"
"Branta canadensis","GBIF:5232437"
"Columbina inca","GBIF:2495863"
"Bembidion biguttatum","GBIF:10216621"
"Vireo griseus","GBIF:2487413"
"Nephtys caeca","GBIF:2317037"
"Catharus ustulatus","GBIF:2490821"
"Pandalus dispar","GBIF:2222443"
"Notiophilus rufipes","GBIF:5023058"
"Fucus vesiculosus","GBIF:8222574"
"Clupea pallasii","GBIF:4284072"
"Podiceps grisegena","GBIF:2482051"
"Platichthys stellatus","GBIF:2409327"
"Sayornis nigricans","GBIF:2483612"
"Bembidion quadrimaculatum","GBIF:1036128"
"Tripos muelleri","GBIF:7386780"
"Centaurium erythraea","GBIF:5414457"
"Strix aluco","GBIF:9282206"
"Pogonatum urnigerum","GBIF:2682986"
"Polioptila melanura","GBIF:2487586"
"Buteo jamaicensis","GBIF:2480542"
"Philereme transversata","GBIF:1959395"
"Sthenelais limicola","GBIF:2313008"
"Piranga olivacea","GBIF:2488517"
"Parus major","GBIF:9705453"
"Vanellus vanellus","GBIF:2480242"
"Peprilus triacanthus","GBIF:2397711"
"Platichthys flesus","GBIF:2409330"
"Sialia currucoides","GBIF:2490935"
"Leiothlypis celata","GBIF:8169649"
"Fulica atra","GBIF:2474377"
"Setophaga coronata","GBIF:7341805"
"Ligia oceanica","GBIF:5175631"
"Quiscalus quiscula","GBIF:2484155"
