"species_harmonized","usageKey"
"Pardosa saltans","GBIF:2146075"
"Notiophilus germinyi","GBIF:6097896"
"Chloroclysta miata","GBIF:1963463"
"Agriopis aurantiaria","GBIF:5769072"
"Eupithecia abbreviata","GBIF:1984117"
"Sprattus sprattus","GBIF:2413452"
"Agonum fuliginosum","GBIF:5755079"
"Fulmarus glacialis","GBIF:2481433"
"Pandalus goniurus","GBIF:2222357"
"Lagocephalus laevigatus","GBIF:2407750"
"Arcuatula senhousia","GBIF:6531311"
"Eupithecia tantillaria","GBIF:1982636"
"Bembidion assimile","GBIF:5872148"
"Calathus melanocephalus","GBIF:4988354"
"Palliduphantes ericaeus","GBIF:2135753"
"Hyas coarctatus","GBIF:2226649"
"Scoloplos armiger","GBIF:2319789"
"Tethea or","GBIF:5142971"
"Lomographa temerata","GBIF:1986056"
"Colostygia multistrigaria","GBIF:1988602"
"Ceratinella brevipes","GBIF:2138356"
"Leuctra hippopus","GBIF:2001976"
"Centropristis striata","GBIF:2387483"
"Regulus ignicapilla","GBIF:6093527"
"Levinsenia gracilis","GBIF:5197144"
"Diarsia dahlii","GBIF:4533444"
"Poecile gambeli","GBIF:2487825"
"Nucifraga caryocatactes","GBIF:2482613"
"Erigone longipalpis","GBIF:2137735"
"Micaria pulicaria","GBIF:5168243"
"Bryoria fuscescens","GBIF:2606557"
"Xysticus cristatus","GBIF:2165052"
"Odontopera bidentata","GBIF:1990066"
"Chthamalus montagui","GBIF:2115617"
"Calidris alpina","GBIF:2481759"
"Charadrius mongolus","GBIF:9722670"
"Amara convexior","GBIF:4472897"
"Chloroclysta siterata","GBIF:1963446"
"Eulithis pyraliata","GBIF:1965841"
"Steromphala umbilicalis","GBIF:9471950"
"Owenia fusiformis","GBIF:5199345"
"Leptagonus decagonus","GBIF:2337186"
"Harpactea hombergi","GBIF:2139120"
"Champia parvula","GBIF:2663441"
"Amphictene auricoma","GBIF:2324222"
"Ophelina acuminata","GBIF:5197511"
"Eopsetta jordani","GBIF:2409237"
"Platismatia glauca","GBIF:2605342"
"Lepomis macrochirus","GBIF:2394503"
"Hoplodrina ambigua","GBIF:1784853"
"Diplocirrus glaucus","GBIF:2325554"
"Conisania luteago","GBIF:4534011"
"Sebastes pinniger","GBIF:2335525"
"Tachybaptus ruficollis","GBIF:2482048"
"Larimus fasciatus","GBIF:2399924"
"Piranga ludoviciana","GBIF:2488484"
"Bathyphantes approximatus","GBIF:2134053"
"Schrankia costaestrigalis","GBIF:5113036"
"Morus bassanus","GBIF:2480964"
"Orthopristis chrysoptera","GBIF:2382797"
"Aonides paucibranchiata","GBIF:2321037"
"Chondrus crispus","GBIF:5279115"
"Merluccius productus","GBIF:2415676"
"Entelecara erythropus","GBIF:2137323"
"Padina pavonica","GBIF:3200186"
"Mythimna albipuncta","GBIF:5772178"
"Pheucticus melanocephalus","GBIF:2490487"
"Myiarchus tyrannulus","GBIF:2483589"
"Clubiona comta","GBIF:2144290"
"Idaea rusticata","GBIF:5147478"
"Charadrius semipalmatus","GBIF:2480295"
"Chaetozone setosa","GBIF:2323974"
"Chilomycterus schoepfii","GBIF:2406494"
"Nezumia bairdii","GBIF:2416930"
"Vireo plumbeus","GBIF:9353154"
"Glycera lapidum","GBIF:5195441"
"Anobothrus gracilis","GBIF:2325777"
"Caranx hippos","GBIF:2390778"
"Leptorhoptrum robustum","GBIF:2134514"
"Nola confusalis","GBIF:4534782"
"Eupithecia exiguata","GBIF:8262357"
"Leuctra fusca","GBIF:2001954"
"Xestia sexstrigata","GBIF:5112155"
"Dismodicus bifrons","GBIF:2134165"
"Myadestes townsendi","GBIF:2490849"
"Sardinella aurita","GBIF:2412864"
"Eutrigla gurnardus","GBIF:2336597"
"Syntomus obscuroguttatus","GBIF:4479895"
"Parmeliopsis ambigua","GBIF:2605814"
"Aporophyla lutulenta","GBIF:7940157"
"Himanthalia elongata","GBIF:3197836"
"Ammodytes dubius","GBIF:2389990"
"Phalacrocorax brasilianus","GBIF:9399113"
"Goniada maculata","GBIF:2316603"
"Phalacrocorax auritus","GBIF:2481875"
"Noctua janthina","GBIF:1789783"
"Papilio memnon","GBIF:1937892"
"Conistra rubiginosa","GBIF:1768749"
"Paracolax tristalis","GBIF:4532516"
"Prionotus evolans","GBIF:5201545"
"Aplocera praeformata","GBIF:1984949"
"Kaestneria pullata","GBIF:2137975"
"Apis mellifera","GBIF:1341976"
"Isias clavipes","GBIF:5166385"
"Pelvetia canaliculata","GBIF:3196499"
"Notiophilus palustris","GBIF:8264200"
"Clubiona stagnatilis","GBIF:2143910"
"Walckenaeria nudipalpis","GBIF:2134741"
"Ameiurus nebulosus","GBIF:2340989"
"Tenuiphantes tenuis","GBIF:2135959"
"Synaphobranchus kaupii","GBIF:2402847"
"Salmo trutta","GBIF:8215487"
"Hypnea musciformis","GBIF:9802728"
"Lagis koreni","GBIF:2324317"
"Bathyphantes parvulus","GBIF:2134110"
"Halobaena caerulea","GBIF:2481597"
"Ischnura elegans","GBIF:1423395"
"Oncorhynchus keta","GBIF:5204014"
"Centromerita bicolor","GBIF:2138915"
"Erigone arctica","GBIF:2137723"
"Bathyphantes gracilis","GBIF:2134068"
"Littorina saxatilis","GBIF:8116657"
"Nucella lapillus","GBIF:5193449"
"Centropages hamatus","GBIF:2114723"
"Pterostichus diligens","GBIF:7873810"
"Nycteola revayana","GBIF:5114327"
"Piratula hygrophila","GBIF:8327349"
"Micrargus herbigradus","GBIF:2135263"
"Walckenaeria acuminata","GBIF:2134735"
"Glaucomys volans","GBIF:2437338"
"Peromyscus leucopus","GBIF:2438019"
"Enchelyopus cimbrius","GBIF:5214892"
"Noctua comes","GBIF:1789730"
"Citharichthys sordidus","GBIF:2408726"
"Coryphaenoides rupestris","GBIF:5215150"
"Alopecosa pulverulenta","GBIF:2147438"
"Oedothorax retusus","GBIF:2136022"
"Buglossidium luteum","GBIF:2409909"
"Xestia xanthographa","GBIF:5112283"
"Gongylidiellum vivum","GBIF:2137419"
"Anguilla anguilla","GBIF:5212973"
"Palmaria palmata","GBIF:7843860"
"Lophomma punctatum","GBIF:2138856"
"Tyta luctuosa","GBIF:1790692"
"Centromerus sylvaticus","GBIF:2138546"
"Callionymus lyra","GBIF:2386906"
"Agyneta decora","GBIF:2135684"
"Pterostichus niger","GBIF:9314786"
"Arenaria melanocephala","GBIF:5229406"
"Bembidion mannerheimii","GBIF:6097867"
"Hypomma bituberculatum","GBIF:5168403"
"Sabinea septemcarinata","GBIF:5178293"
"Allomengea scopigera","GBIF:2135177"
"Salmo salar","GBIF:7595433"
"Autographa bractea","GBIF:1792414"
"Mythimna conigera","GBIF:5772199"
"Chloroclystis v ata","GBIF:1989428"
"Antistea elegans","GBIF:2142065"
"Charanyca ferruginea","GBIF:4534299"
"Turdus grayi","GBIF:2490716"
"Branta bernicla","GBIF:5232446"
"Pachygnatha clercki","GBIF:5170066"
"Pardosa nigriceps","GBIF:2146194"
"Scopula nigropunctata","GBIF:5144677"
"Pterostichus rhaeticus","GBIF:8417764"
"Ceratinella brevis","GBIF:2138341"
"Raja miraletus","GBIF:5216033"
"Meleagris gallopavo","GBIF:9606290"
"Oedothorax fuscus","GBIF:2136031"
"Agroeca proxima","GBIF:2140934"
"Pardosa pullata","GBIF:2146260"
"Pirata piraticus","GBIF:2146739"
"Macrourus berglax","GBIF:5215147"
"Erigone atra","GBIF:2137734"
"Circus pygargus","GBIF:2480495"
"Deileptenia ribeata","GBIF:1978821"
"Haliaeetus albicilla","GBIF:2480449"
"Thetidia smaragdaria","GBIF:1957300"
"Colobochyla salicalis","GBIF:1764531"
"Recurvirostra avosetta","GBIF:2480259"
"Trichoniscus pusillus","GBIF:2207872"
"Antimora rostrata","GBIF:2417115"
"Lycaena virgaureae","GBIF:1929659"
"Noctiluca scintillans","GBIF:8063862"
"Walckenaeria kochi","GBIF:2134774"
"Ozyptila trux","GBIF:2166686"
"Robertus arundineti","GBIF:2155881"
"Zeus faber","GBIF:7744449"
"Batillaria cumingii","GBIF:6497271"
"Sebastes elongatus","GBIF:2335441"
"Cyclopterus lumpus","GBIF:5962255"
"Sebastes crameri","GBIF:2335443"
"Anarhichas minor","GBIF:2392194"
"Symphodus roissali","GBIF:2384006"
"Lithophane leautieri","GBIF:1759673"
"Lithognathus mormyrus","GBIF:2392647"
"Daption capense","GBIF:2481545"
"Amphipyra perflua","GBIF:1766131"
"Centropages chierchiae","GBIF:2114729"
"Temora stylifera","GBIF:5166380"
"Sebastes flavidus","GBIF:2335500"
"Girella tricuspidata","GBIF:2381233"
"Pterostichus nigrita","GBIF:7708350"
"Bathytoshia brevicaudata","GBIF:2419488"
"Sterna forsteri","GBIF:5229247"
"Emiliania huxleyi","GBIF:5423960"
"Oligolophus tridens","GBIF:4553538"
"Calanoides carinatus","GBIF:2114946"
"Dicentrarchus labrax","GBIF:2394622"
"Diplodus cervinus","GBIF:5712108"
"Syngnathus acus","GBIF:2332927"
"Mytilus galloprovincialis","GBIF:2285683"
"Atherina presbyter","GBIF:2411945"
"Anarhichas denticulatus","GBIF:2392210"
"Entosphenus tridentatus","GBIF:2421422"
"Vulpes vulpes","GBIF:5219243"
"Chelidonichthys lucerna","GBIF:2336774"
"Zenopsis conchifer","GBIF:2415247"
